code,n_qual,first_q,last_q,touch_date,days_to_touch,years_to_touch,max_drawdown,hold,denom,has_mcap
000001,515,2005-01-04,2016-05-30,2007-01-23,459,1.88,-0.28012116070363346,True,3662,True
000002,1410,2005-01-04,2015-10-08,2006-11-16,418,1.71,-0.31251525953415693,True,3611,True
000006,295,2011-06-08,2015-02-12,2015-05-22,957,3.92,-0.3387926271198447,False,1548,True
000009,1392,2010-05-10,2020-12-31,2015-04-30,1127,4.62,-0.6935072885181925,False,2832,True
000012,3,2009-02-20,2009-02-24,2010-11-23,423,1.73,-0.360818581771573,False,3002,True
000021,702,2011-12-15,2019-08-15,2015-06-24,837,3.43,-0.3355841347259927,False,2637,True
000027,379,2011-06-17,2014-10-28,2015-06-10,922,3.78,-0.2600039077764752,False,2492,True
000028,203,2010-05-27,2013-07-12,2015-05-27,1197,4.91,-0.5342862883550044,False,2129,True
000029,26,2020-11-10,2020-12-15,2025-09-30,1189,4.87,-0.4047672087324572,,431,True
000031,994,2010-06-17,2014-12-30,2015-06-17,1209,4.95,-0.6520316428809259,False,2810,True
000039,195,2005-02-28,2012-12-04,2007-06-19,514,2.11,-0.5304455327849366,False,3464,True
000050,99,2011-05-11,2014-06-25,2015-06-05,922,3.78,-0.5534738646809125,False,1706,True
000060,747,2007-01-19,2015-01-20,2007-09-20,163,0.67,-0.18655326572892827,False,3262,True
000061,786,2010-05-13,2014-07-25,2015-05-12,1171,4.8,-0.6858955555921757,False,2582,True
000062,489,2013-07-17,2020-12-31,2015-03-03,361,1.48,-0.3779992365579671,False,1665,True
000063,1173,2005-01-25,2018-11-01,2008-01-11,674,2.76,-0.31661270022267884,True,3598,True
000066,254,2010-06-29,2019-02-21,2015-06-02,1153,4.73,-0.7115673879942785,False,1585,True
000069,139,2006-10-26,2014-03-14,2007-08-01,183,0.75,-0.3385119819132,False,3330,True
000078,231,2010-06-02,2015-03-18,2015-06-02,1187,4.86,-0.6494925706927808,False,1759,True
000088,2,2013-07-22,2013-07-30,2015-06-30,473,1.94,-0.23351261894911046,False,2254,True
000089,595,2011-12-30,2014-10-29,2015-06-12,833,3.41,-0.2663018128673156,False,2219,True
000100,953,2010-04-30,2019-02-12,2015-04-21,1157,4.74,-0.4740549424747593,False,3010,True
000155,67,2017-12-18,2020-12-31,2021-08-05,872,3.57,-0.49002849002849,False,86,True
000157,753,2007-04-12,2019-03-14,2010-10-19,788,3.23,-0.7029030663772913,False,3237,True
000158,363,2010-08-23,2020-12-31,2015-05-18,1068,4.38,-0.6774656246908695,False,1510,True
000301,414,2016-11-17,2020-12-31,2021-06-24,949,3.89,-0.31049075655208247,False,971,True
000333,783,2013-09-18,2017-05-18,2017-02-16,806,3.3,-0.39688532326569137,True,1691,True
