code,n_qual,first_q,last_q,touch_date,days_to_touch,years_to_touch,max_drawdown,hold,denom,has_mcap
000001,515,2005-01-04,2016-05-30,2007-01-23,459,1.88,-0.28012116070363346,True,3662,True
000002,1415,2005-01-04,2015-10-08,2006-11-16,418,1.71,-0.31251525953415693,True,3611,True
000006,297,2011-06-08,2015-02-12,2015-05-22,957,3.92,-0.3387926271198447,False,1548,True
000007,1,2008-04-25,2008-04-25,2013-02-08,1104,4.52,-0.7547765587369548,False,0,True
000008,2,2013-05-27,2013-05-28,2014-11-06,284,1.16,-0.3013224771157761,True,1182,True
000009,1414,2010-05-10,2020-12-31,2015-04-30,1127,4.62,-0.6935072885181925,False,2832,True
000010,1,2008-04-25,2008-04-25,2013-04-24,620,2.54,-0.7008097424126498,True,2,True
000011,8,2008-04-25,2019-06-18,2011-05-16,665,2.73,-0.6511226252158895,False,120,True
000012,3,2009-02-20,2009-02-24,2010-11-23,423,1.73,-0.360818581771573,False,3002,True
000014,2,2013-05-27,2013-05-28,2015-06-05,494,2.02,-0.3194873036042033,False,9,True
000016,13,2013-05-27,2019-01-14,2015-04-03,450,1.84,-0.19982511658894075,True,1048,True
000017,10,2019-06-17,2019-07-01,2024-01-25,1121,4.59,-0.6835069174568631,,24,True
000019,2,2013-05-27,2013-05-28,2015-06-02,491,2.01,-0.22040854397910636,False,28,True
000020,2,2013-05-27,2013-05-28,2015-05-20,291,1.19,-0.20652760294910988,False,0,True
000021,725,2011-12-15,2019-08-15,2015-06-24,837,3.43,-0.3355841347259927,False,2637,True
000025,2,2013-05-27,2013-05-28,2015-03-23,427,1.75,-0.24217619579147553,True,1221,True
000026,1,2013-05-27,2013-05-27,2015-06-02,484,1.98,-0.2876951490491444,False,26,True
000027,381,2011-06-17,2014-10-28,2015-06-10,922,3.78,-0.2600039077764752,False,2492,True
000028,204,2010-05-27,2013-07-12,2015-05-27,1197,4.91,-0.5342862883550044,False,2129,True
000029,28,2013-05-27,2020-12-15,2015-04-09,454,1.86,-0.2570194384449245,True,431,True
000031,996,2010-06-17,2014-12-30,2015-06-17,1209,4.95,-0.6520316428809259,False,2810,True
000032,23,2013-05-27,2019-07-01,2015-06-02,371,1.52,-0.2518172904621835,False,217,True
000034,2,2013-05-27,2013-05-28,2015-09-24,448,1.84,-0.23811966438280874,True,602,True
000036,2,2013-05-27,2013-05-28,2015-06-02,447,1.83,-0.24234881484414772,False,1038,True
000037,12,2013-05-27,2019-01-14,2015-06-05,343,1.41,-0.1943871431998081,False,3,True
000039,195,2005-02-28,2012-12-04,2007-06-19,514,2.11,-0.5304455327849366,False,3464,True
000048,2,2013-05-27,2013-05-28,2015-06-23,500,2.05,-0.35208037294642636,False,1156,True
000049,23,2007-08-29,2019-07-01,2012-06-01,1112,4.56,-0.7015434883323987,True,1621,True
000050,99,2011-05-11,2014-06-25,2015-06-05,922,3.78,-0.5534738646809125,False,1706,True
000055,2,2013-05-27,2013-05-28,2015-05-20,475,1.95,-0.24758626854997312,False,99,True
000056,2,2007-08-29,2008-04-25,2011-07-11,893,3.66,-0.7943004142723507,False,24,True
000058,2,2013-05-27,2013-05-28,2015-04-21,454,1.86,-0.3482849604221636,False,133,True
000060,749,2007-01-19,2015-01-20,2007-09-20,163,0.67,-0.18655326572892827,False,3262,True
000061,788,2010-05-13,2014-07-25,2015-05-12,1171,4.8,-0.6858955555921757,False,2582,True
000062,491,2013-05-27,2020-12-31,2014-12-04,339,1.39,-0.3779992365579671,True,1665,True
000063,1176,2005-01-25,2018-11-01,2008-01-11,674,2.76,-0.31661270022267884,True,3598,True
000065,12,2008-04-25,2019-01-14,2009-04-17,233,0.95,-0.639942241475064,False,529,True
000066,267,2008-04-25,2019-02-21,2010-11-05,601,2.46,-0.5732832440196673,False,1585,True
000069,139,2006-10-26,2014-03-14,2007-08-01,183,0.75,-0.3385119819132,False,3330,True
000070,4,2013-05-27,2014-09-09,2015-05-19,344,1.41,-0.30361616381657763,False,729,True
000078,234,2008-04-25,2015-03-18,2009-10-30,352,1.44,-0.6701781233873694,False,1759,True
000088,2,2013-07-22,2013-07-30,2015-06-30,473,1.94,-0.23351261894911046,False,2254,True
000089,597,2011-12-30,2014-10-29,2015-06-12,833,3.41,-0.2663018128673156,False,2219,True
000090,2,2013-05-27,2013-05-28,2015-05-25,440,1.8,-0.25230580932814617,False,1324,True
000096,2,2013-05-27,2013-05-28,2015-05-15,478,1.96,-0.2635319536047306,False,595,True
000099,13,2013-05-27,2019-07-01,2015-05-27,487,2.0,-0.26908995815899583,False,641,True
