code,n_qual,first_q,last_q,touch_date,days_to_touch,years_to_touch,max_drawdown,hold,denom,has_mcap
000001,363,2005-01-04,2006-11-20,2007-05-25,526,2.16,-0.28012116070363346,False,3662,True
000002,476,2005-01-04,2014-05-19,2007-01-10,452,1.85,-0.31251525953415693,True,3611,True
000008,2,2013-05-27,2013-05-28,2015-03-09,357,1.46,-0.3013224771157761,False,1182,True
000009,463,2018-01-15,2019-12-25,2021-08-24,877,3.59,-0.45991221126861914,False,2832,True
000016,3,2013-05-27,2014-10-10,2015-05-11,474,1.94,-0.19982511658894075,False,1048,True
000020,2,2013-05-27,2013-05-28,2015-12-01,406,1.66,-0.6156080597320241,False,0,True
000025,2,2013-05-27,2013-05-28,2015-08-04,520,2.13,-0.6305304525780104,False,1221,True
000031,626,2011-08-08,2014-10-27,2015-06-24,937,3.84,-0.4533862386148436,False,2810,True
000034,2,2013-05-27,2013-05-28,2015-11-25,480,1.97,-0.23811966438280874,False,602,True
000048,1,2013-05-27,2013-05-27,2016-01-06,566,2.32,-0.5482950862180733,False,1156,True
000049,1,2008-04-25,2008-04-25,2013-03-14,1145,4.69,-0.5554425598372862,True,1621,True
000058,2,2013-05-27,2013-05-28,2015-06-16,493,2.02,-0.3482849604221636,False,133,True
000060,10,2014-01-15,2014-05-08,2015-06-05,337,1.38,-0.17537041710227474,False,3262,True
000061,148,2012-01-05,2013-05-09,2015-05-27,788,3.23,-0.4018602432625805,False,2582,True
000062,326,2013-05-27,2015-02-02,2015-05-22,404,1.66,-0.3779992365579671,False,1665,True
000063,27,2012-11-16,2012-12-24,2017-11-13,1172,4.8,-0.5205585930096706,False,3598,True
000065,2,2013-05-27,2013-05-28,2015-05-22,465,1.91,-0.30995455108140124,False,529,True
000066,2,2013-05-27,2013-05-28,2015-05-27,462,1.89,-0.25512077394335697,False,1585,True
000096,2,2013-05-27,2013-05-28,2015-06-10,496,2.03,-0.2635319536047306,False,595,True
000155,51,2018-12-14,2020-12-16,2021-08-05,631,2.59,-0.3710324089542265,False,86,True
000157,4,2008-11-03,2008-11-07,2011-04-07,583,2.39,-0.43277862673900747,False,3237,True
000158,99,2013-05-27,2020-12-31,2015-05-12,403,1.65,-0.25815505993020793,False,1510,True
000301,393,2016-09-13,2020-11-02,2021-07-14,1003,4.11,-0.31049075655208247,False,971,True
000333,249,2013-09-18,2016-05-09,2017-11-10,987,4.05,-0.39688532326569137,True,1691,True
000338,209,2008-06-17,2016-11-02,2010-11-09,565,2.32,-0.5232336091661363,False,3141,True
000408,9,2013-05-27,2019-07-01,2015-06-18,363,1.49,-0.3225084716308976,False,186,True
000410,2,2013-05-27,2013-05-28,2015-04-29,436,1.79,-0.24524973943718442,False,1155,True
000422,21,2018-12-14,2019-07-01,2021-08-27,655,2.68,-0.5192858529954365,False,1446,True
