code,n_qual,first_q,last_q,touch_date,days_to_touch,years_to_touch,max_drawdown,hold,denom,has_mcap
000001,363,2005-01-04,2006-11-20,2007-05-25,526,2.16,-0.28012116070363346,False,3662,True
000002,474,2005-01-04,2014-05-19,2007-01-10,452,1.85,-0.31251525953415693,True,3611,True
000009,442,2018-01-15,2019-12-25,2021-08-24,877,3.59,-0.45991221126861914,False,2832,True
000031,624,2011-08-08,2014-10-27,2015-06-24,937,3.84,-0.4533862386148436,False,2810,True
000060,10,2014-01-15,2014-05-08,2015-06-05,337,1.38,-0.17537041710227474,False,3262,True
000061,148,2012-01-05,2013-05-09,2015-05-27,788,3.23,-0.4018602432625805,False,2582,True
000062,324,2013-07-17,2015-02-02,2015-05-28,374,1.53,-0.3779992365579671,False,1665,True
000063,27,2012-11-16,2012-12-24,2017-11-13,1172,4.8,-0.5205585930096706,False,3598,True
000155,30,2020-07-07,2020-12-16,2021-08-25,279,1.14,-0.3710324089542265,False,86,True
000157,4,2008-11-03,2008-11-07,2011-04-07,583,2.39,-0.43277862673900747,False,3237,True
000158,97,2019-11-01,2020-12-31,2024-10-31,1211,4.96,-0.6349986641731231,,1510,True
000301,371,2016-11-17,2020-11-02,2021-08-30,996,4.08,-0.31049075655208247,False,971,True
000333,249,2013-09-18,2016-05-09,2017-11-10,987,4.05,-0.39688532326569137,True,1691,True
000338,208,2008-06-17,2016-11-02,2010-11-09,565,2.32,-0.5232336091661363,False,3141,True
000426,51,2020-09-30,2020-12-31,2025-09-30,1212,4.97,-0.5293133136999308,,1031,True
000503,245,2010-09-03,2013-07-10,2015-04-30,1094,4.48,-0.5772073068496433,False,1944,True
000516,48,2020-04-01,2020-07-02,2021-06-03,284,1.16,-0.22384693449048154,False,1313,True
000519,28,2019-05-21,2020-04-07,2022-08-18,791,3.24,-0.446945272173644,False,684,True
000538,26,2008-09-17,2008-11-26,2013-07-24,1168,4.79,-0.3597410771981292,True,2940,True
000547,2,2011-09-22,2014-09-23,2015-04-03,695,2.85,-0.4486742342497878,False,1214,True
000558,5,2011-03-30,2011-04-07,2015-06-02,908,3.72,-0.6463338043648924,False,532,True
000559,650,2010-06-18,2014-02-14,2015-06-15,1202,4.93,-0.6645259437399795,False,2570,True
000566,3,2012-10-23,2012-10-25,2015-05-27,620,2.54,-0.34147236656557267,False,1201,True
000568,618,2015-08-25,2019-03-15,2020-07-15,1170,4.8,-0.4371969106278586,True,3306,True
000592,41,2012-05-28,2014-04-02,2015-05-22,696,2.85,-0.42741203750378065,False,919,True
000596,728,2013-09-26,2019-01-02,2018-07-13,1168,4.79,-0.4293496132565089,True,2555,True
000623,2,2007-01-12,2007-02-06,2007-10-18,180,0.74,-0.35460375804856514,False,3344,True
000625,183,2010-06-29,2012-09-06,2015-04-28,1091,4.47,-0.5176676836209644,False,2875,True
000651,11,2010-06-07,2013-06-25,2015-06-01,1198,4.91,-0.31425873111391067,True,3142,True
000661,1023,2014-06-19,2019-02-21,2019-03-29,1152,4.72,-0.5437975839188771,True,2159,True
000683,350,2018-10-11,2020-12-31,2021-09-02,707,2.9,-0.5401243932038835,False,1017,True
