code,fy0,fy1,eps0,eps1,p0,p1,hold,years_to_touch,earn_mult,pe_mult,product,pe0,pe1
1,20051231,20071231,0.18,1.27,6.01,48.05,False,2.49,7.055555555555556,1.1331507854363465,7.995008319467555,33.388888888888886,37.83464566929133
2,20051231,20071231,0.39,0.73,5.27,22.62,False,2.35,1.871794871794872,2.293103896441476,4.292220113851992,13.512820512820513,30.98630136986301
62,20131231,20151231,0.618,0.5556,9.35,89.88,False,1.58,0.8990291262135922,10.69246139453229,9.61283422459893,15.129449838187702,161.77105831533478
568,20161231,20211231,1.375,5.43,20.86,279.18,False,4.9,3.9490909090909088,3.3890101333276834,13.383509108341324,15.17090909090909,51.41436464088398
596,20161231,20211231,1.65,4.45,26.4,279.66,False,4.92,2.696969696969697,3.927808988764045,10.59318181818182,16.0,62.84494382022472
661,20151231,20201231,2.93,7.53,104.29,423.88,False,4.89,2.569965870307167,1.5815134959888766,4.064435708121583,35.593856655290104,56.29216467463479
733,20181231,20221231,0.5473,4.5965,14.17,139.8,False,4.41,8.398501735793896,1.1747230890675695,9.865913902611153,25.890736342042757,30.41444577395845
799,20181231,20211231,0.6853,2.7498,26.77,269.72,False,3.41,4.012549248504304,2.510986651577853,10.075457601793053,39.06318400700423,98.08713360971709
858,20151231,20201231,1.627,5.141,24.26,270.0,False,4.93,3.15980331899201,3.522191110919393,11.129431162407254,14.910878918254458,52.51896518187123
2048,20051231,20071231,0.26,0.52,6.54,20.78,False,1.96,2.0,1.58868501529052,3.17737003058104,25.153846153846157,39.96153846153846
2129,20181231,20221231,0.2339,2.1212,5.81,59.17,False,3.7,9.068832834544676,1.1229852196155652,10.184165232358003,24.8396750748183,27.89458796907411
2252,20111231,20151231,0.74,0.52,23.96,69.99,False,3.19,0.7027027027027027,4.156976370874534,2.921118530884808,32.37837837837838,134.59615384615384
2271,20161231,20211231,1.22,1.74,12.91,53.03,False,4.98,1.4262295081967211,2.880089389851937,4.107668474051123,10.581967213114757,30.477011494252874
2292,20121231,20151231,0.44,0.39,15.71,53.82,False,2.48,0.8863636363636364,3.8650541056651817,3.4258434118395926,35.70454545454545,138.0
2371,20151231,20201231,0.11,1.0935,22.31,229.34,True,4.63,9.94090909090909,1.0340799930808289,10.27969520394442,202.8181818181818,209.7302240512117
2460,20161231,20211231,0.6155,3.73,38.93,137.91,False,4.94,6.060113728675873,0.5845619999876042,3.542512201387105,63.24939073923639,36.97319034852547
2466,20201231,20221231,-1.24,15.52,16.77,147.17,False,2.17,,,,,
2475,20151231,20201231,0.86,1.03,27.0,55.8,False,4.78,1.1976744186046513,1.7255663430420711,2.066666666666667,31.3953488372093,54.1747572815534
2709,20161231,20211231,1.23,2.35,44.71,164.93,False,4.85,1.910569105691057,1.9307775403665228,3.688883918586446,36.34959349593496,70.18297872340426
2714,20151231,20201231,1.23,7.46,90.0,126.6,False,4.74,6.065040650406504,0.2319302949061662,1.4066666666666667,73.17073170731707,16.970509383378015
2812,20191231,20211231,1.06,3.06,29.95,310.08,False,2.01,2.8867924528301887,3.586421814134669,10.353255425709516,28.254716981132077,101.33333333333331
300014,20151231,20201231,0.38,0.89,20.79,55.68,True,4.9,2.3421052631578947,1.1435056828315255,2.6782106782106783,54.71052631578947,62.561797752808985
300015,20161231,20201231,0.56,0.4231,27.46,72.7,False,4.89,0.7555357142857142,3.504119268128645,2.6474872541879098,49.035714285714285,171.82699125502248
300024,20111231,20151231,0.5364,0.6,61.25,128.0,False,4.14,1.1185682326621924,1.868277551020408,2.089795918367347,114.18717375093216,213.33333333333331
300059,20131231,20151231,0.01,1.0897,22.25,47.39,False,1.75,108.96999999999998,0.0195456331141547,2.1298876404494385,2225.0,43.48903367899423
300122,20151231,20201231,0.25,2.0633,19.81,102.98,False,4.94,8.2532,0.6298629203478703,5.198384654215043,79.24,49.91033780836524
300142,20161231,20201231,0.05,0.6518,9.03,91.8,False,3.93,13.036,0.7798491068434054,10.166112956810633,180.6,140.840748695919
300168,20141231,20151231,0.3899,0.2319,14.93,154.8,False,0.75,0.5947678892023596,17.432659006367796,10.368385800401876,38.2918697101821,667.5291073738681
300274,20161231,20211231,0.41,1.08,18.07,102.5,False,4.96,2.6341463414634148,2.15340548074361,5.672385168788046,44.07317073170732,94.9074074074074
300308,20201231,20251231,1.23,9.8,56.38,406.1,,4.95,7.967479674796748,0.9040385576011176,7.202908832919474,45.83739837398375,41.43877551020408
300347,20161231,20201231,0.3,2.2,23.63,159.4,False,4.81,7.333333333333334,0.919863040049244,6.745662293694457,78.76666666666667,72.45454545454545
300394,20201231,20251231,1.4083,2.5958,66.58,198.53,,4.97,1.843215224028971,1.6177309819353496,2.9818263742865727,47.27685862387275,76.48123892441636
300476,20201231,20251231,0.67,5.01,21.17,238.0,,4.97,7.477611940298507,1.5034644928376597,11.242324043457725,31.59701492537313,47.50499001996008
300502,20201231,20251231,1.5,9.61,65.17,244.29,,4.96,6.406666666666666,0.5850942631909469,3.748503912843333,43.446666666666665,25.420395421436005
300750,20181231,20211231,1.6412,6.876,36.2,404.1,False,2.56,4.189617353156227,2.664439848427873,11.162983425414364,22.057031440409457,58.769633507853406
600000,20051231,20081231,0.635,2.211,7.46,61.59,False,2.36,3.4818897637795274,2.371135426935515,8.25603217158177,11.748031496062993,27.856173677069204
600028,20051231,20071231,0.456,0.634,3.37,28.49,False,2.29,1.3903508771929824,6.080483763772009,8.4540059347181,7.390350877192982,44.93690851735016
600030,20051231,20071231,0.16,4.01,5.92,46.2,True,1.65,25.0625,0.3113837029049,7.804054054054054,37.0,11.521197007481298
600031,20051231,20071231,,1.65,16.61,43.62,False,1.94,,,,,
600036,20051231,20071231,0.38,1.04,8.17,44.53,False,2.61,2.736842105263158,1.9915026833631488,5.450428396572828,21.5,42.81730769230769
600053,20051231,20071231,0.03,0.58,2.28,14.93,False,1.7,19.33333333333333,0.3387023593466425,6.548245614035088,76.0,25.74137931034483
600058,20051231,20071231,0.402,1.2854,6.29,51.67,False,2.14,3.1975124378109454,2.5690678459786724,8.21462639109698,15.646766169154228,40.19760385872102
600062,20051231,20071231,0.4231,0.9921,4.65,28.52,True,2.06,2.3448357362325694,2.6156771830796623,6.133333333333333,10.990309619475305,28.74710210664248
600075,20051231,20071231,0.71,0.6188,6.49,16.4,False,1.76,0.8715492957746479,2.8993937269111743,2.526964560862866,9.140845070422536,26.50290885585003
600079,20051231,20091231,0.253,0.48,3.31,11.48,True,4.07,1.897233201581028,1.8280715005035248,3.468277945619336,13.08300395256917,23.916666666666668
600089,20051231,20071231,0.3232,0.6306,7.3,32.7,True,1.5,1.9511138613861387,2.295843488914667,4.479452054794521,22.58663366336634,51.85537583254044
600104,20051231,20071231,0.337,0.708,4.5,30.79,False,2.2,2.100890207715133,3.256820464532329,6.8422222222222215,13.353115727002969,43.48870056497175
600108,20051231,20071231,0.011,0.0408,1.87,8.18,False,1.75,3.709090909090909,1.1793540945790078,4.374331550802138,170.00000000000003,200.49019607843132
600117,20051231,20071231,0.2312,0.4179,3.05,24.15,False,2.16,1.8075259515570932,4.380591482000164,7.918032786885244,13.19204152249135,57.78894472361809
600118,20051231,20081231,0.03,0.6,5.48,44.0,True,2.36,20.0,0.4014598540145985,8.02919708029197,182.66666666666669,73.33333333333334
600127,20051231,20071231,0.01,0.023,2.21,11.35,False,1.8,2.3,2.232933307102105,5.135746606334841,221.0,493.4782608695652
600132,20161231,20211231,0.37,2.41,13.78,154.21,False,4.85,6.513513513513514,1.7180982721967613,11.190856313497823,37.24324324324324,63.98755186721991
600143,20051231,20071231,0.81,0.61,11.74,66.28,False,1.62,0.7530864197530863,7.496690591225181,5.64565587734242,14.493827160493826,108.65573770491804
600150,20051231,20071231,0.5613,5.53,9.35,75.8,True,1.51,9.852128986281846,0.8228629449478295,8.106951871657754,16.657758774274004,13.707052441229656
600151,20051231,20071231,,0.0723,3.34,17.87,False,1.77,,,,,
600161,20051231,20071231,0.212,0.32,5.29,47.86,False,2.09,1.509433962264151,5.993809073724007,9.047258979206047,24.952830188679247,149.5625
600162,20051231,20071231,0.056,0.3559,2.91,22.23,False,1.82,6.355357142857143,1.2020056601095523,7.639175257731958,51.96428571428572,62.461365552121386
600166,20051231,20071231,-0.65,0.479,4.01,15.48,True,1.68,,,,,
600169,20051231,20071231,,0.76,4.84,34.96,False,2.16,,,,,
600177,20051231,20071231,0.3454,1.11,3.49,32.41,False,1.77,3.213665315576144,2.8897013345723934,9.286532951289397,10.104226983207877,29.19819819819819
600195,20051231,20071231,0.16,0.4027,4.04,34.82,False,2.09,2.516875,3.424409985075985,8.618811881188119,25.25,86.46635212316862
600216,20051231,20091231,0.181,2.7,4.26,32.33,False,3.98,14.917127071823206,0.5087576073726309,7.589201877934274,23.535911602209943,11.974074074074071
600219,20051231,20071231,0.54,0.87,5.86,33.9,False,2.07,1.611111111111111,3.590679063198776,5.784982935153583,10.851851851851851,38.96551724137931
600249,20051231,20071231,0.07,2.0973,6.85,57.22,False,2.03,29.96142857142857,0.2788012811745097,8.353284671532846,97.85714285714285,27.28269680064845
600251,20051231,20071231,0.0322,0.08,4.71,37.43,True,2.27,2.484472049689441,3.198635881104034,7.9469214437367315,146.27329192546583,467.875
600258,20051231,20071231,0.2501,0.5288,5.55,51.21,False,1.87,2.114354258296681,4.363992926360551,9.227027027027026,22.191123550579768,96.84190620272314
600272,20051231,20071231,0.021,0.04,2.34,22.21,False,1.81,1.9047619047619049,4.983012820512821,9.491452991452991,111.42857142857142,555.25
600276,20051231,20081231,0.636,0.8176,12.08,60.25,True,2.49,1.2855345911949685,3.879773298687161,4.987582781456953,18.9937106918239,73.6912915851272
600299,20051231,20071231,,1.08,7.33,41.05,False,1.39,,,,,
600309,20161231,20211231,1.7,7.85,13.54,137.39,False,4.48,4.617647058823529,2.1974334126767583,10.146971935007382,7.964705882352941,17.501910828025476
600312,20051231,20071231,0.34,0.4822,3.86,26.12,False,1.84,1.418235294117647,4.77130939154093,6.766839378238342,11.352941176470589,54.16839485690585
600320,20051231,20071231,0.78,0.65,8.42,23.65,False,1.99,0.8333333333333334,3.370546318289786,2.808788598574822,10.794871794871794,36.38461538461538
600322,20051231,20071231,0.05,0.06,3.08,25.21,False,1.77,1.2,6.820887445887446,8.185064935064934,61.6,420.1666666666667
600325,20051231,20071231,0.61,1.22,6.91,42.73,False,1.91,2.0,3.0918958031837915,6.183791606367583,11.327868852459018,35.02459016393443
600326,20051231,20091231,0.1771,0.17,3.22,14.02,False,3.91,0.9599096555618296,4.535882352941176,4.354037267080745,18.181818181818183,82.47058823529412
600331,20051231,20071231,0.4443,1.2549,5.29,45.06,False,1.79,2.824442943956786,3.015801197302793,8.5179584120983,11.906369570110286,35.90724360506814
600348,20051231,20071231,1.2093,1.03,9.74,74.77,True,2.15,0.8517324071777062,9.01291451526086,7.676591375770021,8.05424625816588,72.59223300970874
600362,20051231,20071231,0.68,1.3992,4.47,41.53,False,2.0,2.0576470588235294,4.515267912760632,9.29082774049217,6.573529411764705,29.681246426529444
600383,20051231,20071231,0.481,1.31,4.06,37.37,False,1.57,2.723492723492724,3.3796431391719626,9.204433497536948,8.44074844074844,28.526717557251903
600409,20051231,20081231,0.3015,0.2202,5.24,25.31,False,2.46,0.7303482587064677,6.61349241841213,4.830152671755725,17.379767827529022,114.94096276112624
600425,20051231,20091231,0.116,0.56,3.22,16.31,False,4.23,4.827586206896552,1.049223602484472,5.065217391304347,27.75862068965517,29.125
600436,20161231,20211231,0.89,4.03,44.99,312.5,False,4.95,4.52808988764045,1.5339774981702576,6.94598799733274,50.55056179775281,77.54342431761786
600438,20051231,20081231,0.71,0.1536,8.76,19.24,False,2.5,0.216338028169014,10.15238536910198,2.1963470319634704,12.338028169014084,125.26041666666669
600439,20051231,20071231,0.58,0.81,9.08,46.66,False,2.02,1.3965517241379313,3.679610594441724,5.138766519823788,15.655172413793103,57.60493827160493
600446,20141231,20151231,0.58,0.31,24.22,260.28,False,1.22,0.5344827586206897,20.106337071468523,10.746490503715936,41.75862068965517,839.6129032258063
600456,20051231,20071231,0.792,1.25,8.39,39.28,False,1.47,1.5782828282828285,2.966365673420739,4.68176400476758,10.593434343434344,31.424
600458,20051231,20091231,0.133,0.47,3.32,21.52,True,4.37,3.533834586466165,1.8342476288131253,6.481927710843374,24.96240601503759,45.7872340425532
600460,20161231,20211231,0.08,1.13,6.82,69.72,False,4.63,14.124999999999998,0.7237432849765136,10.222873900293251,85.25,61.69911504424779
600468,20051231,20071231,0.133,0.1014,3.82,15.87,True,1.81,0.762406015037594,5.4491310139719324,4.154450261780105,28.721804511278197,156.50887573964496
600481,20051231,20091231,0.1103,0.5261,4.32,18.83,False,4.09,4.7697189483227564,0.9138476173379232,4.358796296296295,39.16591115140526,35.79167458658049
600482,20051231,20071231,0.24,0.53,5.07,38.88,False,2.02,2.208333333333333,3.4725912693982357,7.668639053254437,21.125000000000004,73.35849056603773
600497,20051231,20071231,0.8175,3.3615,9.01,75.55,True,1.32,4.111926605504587,2.0392211341357536,8.385127635960044,11.021406727828746,22.47508552729436
600499,20051231,20091231,0.403,0.401,6.77,14.12,False,3.87,0.9950372208436724,2.096074437245144,2.0856720827178727,16.799007444168733,35.21197007481296
600509,20051231,20071231,0.25,0.32,4.07,33.05,False,2.07,1.28,6.344057125307124,8.12039312039312,16.28,103.28125
600511,20051231,20071231,0.3787,0.9857,5.56,45.19,True,1.66,2.602851861631899,3.1226125318675764,8.127697841726619,14.681806179033536,45.84559196510094
600515,20051231,20071231,-0.82,0.495,1.43,12.49,False,1.43,,,,,
600516,20051231,20081231,-0.7,0.9525,3.59,16.85,True,2.29,,,,,
600517,20051231,20071231,0.131,0.88,3.92,25.66,True,1.67,6.717557251908397,0.974449211502783,6.545918367346939,29.923664122137403,29.15909090909091
600519,20161231,20211231,13.31,41.76,196.79,2140.0,False,4.98,3.1374906085649883,3.46599804252895,10.874536307739216,14.785123966942148,51.24521072796935
600523,20051231,20071231,-0.44,0.18,2.37,,True,1.57,,,,,
600531,20051231,20071231,0.38,0.7,4.6,38.42,False,2.14,1.8421052631578947,4.5340372670807465,8.35217391304348,12.105263157894736,54.88571428571429
600533,20051231,20071231,0.708,0.848,4.95,29.56,False,1.97,1.1977401129943503,4.985820468839337,5.971717171717172,6.991525423728814,34.85849056603774
600547,20051231,20071231,0.55,1.2053,8.8,77.98,True,1.84,2.1914545454545453,4.043599103957521,8.861363636363636,16.0,64.69758566332034
600549,20051231,20071231,0.7136,0.3848,8.37,35.26,True,2.12,0.5392376681614349,7.812258909033104,4.212664277180407,11.729260089686097,91.63201663201664
600550,20051231,20071231,0.31,0.62,7.81,58.87,True,1.71,2.0,3.7688860435339313,7.537772087067863,25.19354838709677,94.9516129032258
600551,20051231,20101231,0.04,0.61,5.43,20.77,False,4.24,15.25,0.2508226911813543,3.825046040515654,135.75,34.049180327868854
600552,20051231,20101231,-0.8409,0.31,3.96,34.24,False,4.29,,,,,
600557,20051231,20091231,0.313,0.5,4.92,22.29,True,4.27,1.597444089456869,2.8360853658536587,4.5304878048780495,15.71884984025559,44.58
600570,20051231,20071231,0.0576,0.681,6.2,25.71,True,2.05,11.822916666666668,0.3507403723177489,4.146774193548387,107.6388888888889,37.753303964757706
600582,20051231,20071231,0.522,1.2,7.2,50.97,True,1.69,2.2988505747126435,3.0794375000000005,7.079166666666668,13.79310344827586,42.475
600586,20051231,20081231,0.1898,0.193,7.68,35.47,False,2.36,1.0168598524762908,4.541913590241796,4.618489583333333,40.463645943098,183.7823834196891
600588,20051231,20101231,0.57,0.41,14.91,30.89,False,4.46,0.7192982456140351,2.8802571526721303,2.07176391683434,26.157894736842103,75.34146341463415
600595,20051231,20071231,0.2394,0.88,3.4,33.96,True,1.8,3.675856307435255,2.7172540106951875,9.988235294117649,14.20217209690894,38.59090909090909
600596,20051231,20071231,0.96,1.7247,8.36,54.13,False,2.16,1.7965625,3.604038480584516,6.47488038277512,8.708333333333334,31.385168435090165
